yearmonth,year,month,N.users,N.comments
2012 Apr,2012,4,66312,381456
2012 May,2012,5,73731,500089
2012 Jun,2012,6,101740,736401
2012 Jul,2012,7,113428,786199
2012 Aug,2012,8,153907,1041395
2012 Sep,2012,9,157231,1149039
2012 Oct,2012,10,151278,1135717
2012 Nov,2012,11,159347,1024838
2012 Dec,2012,12,191519,1455424
2013 Jan,2013,1,189465,1362403
2013 Feb,2013,2,176280,1189305
2013 Mar,2013,3,206389,1406967
2013 Apr,2013,4,212136,1422035
2013 May,2013,5,219930,1612666
2013 Jun,2013,6,212237,1549122
2013 Jul,2013,7,220616,1550766
2013 Aug,2013,8,250730,1848995
2013 Sep,2013,9,251193,1844611
2013 Oct,2013,10,261049,1872380
2013 Nov,2013,11,263460,1872517
2013 Dec,2013,12,295368,2174874
2014 Jan,2014,1,292864,2051850
2014 Feb,2014,2,267490,1643802
2014 Mar,2014,3,273820,1844029
2014 Apr,2014,4,459646,2721534
2014 May,2014,5,309890,2243939
2014 Jun,2014,6,304239,2070508
2014 Jul,2014,7,314518,2128082
2014 Aug,2014,8,350992,2631255
2014 Sep,2014,9,305567,1976818
2014 Oct,2014,10,314226,1958768
2014 Nov,2014,11,267271,1524442
2014 Dec,2014,12,294611,1879117
2015 Jan,2015,1,355516,2252543
2015 Feb,2015,2,277916,1761225
2015 Mar,2015,3,260921,1620269
2015 Apr,2015,4,261862,1671513
2015 May,2015,5,268099,1589780
2015 Jun,2015,6,332620,1975460
2015 Jul,2015,7,288226,1723441
2015 Aug,2015,8,312940,1861783
2015 Sep,2015,9,256449,1532930
2015 Oct,2015,10,257987,1588405
2015 Nov,2015,11,233531,1393505
2015 Dec,2015,12,261539,1484239
2016 Jan,2016,1,280713,1507137
2016 Feb,2016,2,263256,1553987
2016 Mar,2016,3,304451,1668834
2016 Apr,2016,4,279498,1562887
2016 May,2016,5,285392,1617942
2016 Jun,2016,6,306697,1724008
2016 Jul,2016,7,340067,2030556
2016 Aug,2016,8,379728,2257931
2016 Sep,2016,9,381126,2054954
2016 Oct,2016,10,423297,2715498
2016 Nov,2016,11,438417,3166389
2016 Dec,2016,12,410463,2833906
2017 Jan,2017,1,394135,2944634
2017 Feb,2017,2,351611,2683412
2017 Mar,2017,3,447082,3499686
2017 Apr,2017,4,405689,2949720
2017 May,2017,5,481272,3473179
2017 Jun,2017,6,420106,3194032
2017 Jul,2017,7,403073,2899164
2017 Aug,2017,8,413723,3153091
2017 Sep,2017,9,435678,3376221
2017 Oct,2017,10,379375,3043238
2017 Nov,2017,11,391758,2698401
2017 Dec,2017,12,420011,3267395
2018 Jan,2018,1,488112,4115110
2018 Feb,2018,2,443494,3705030
2018 Mar,2018,3,455630,3623513
2018 Apr,2018,4,525611,4452189
2018 May,2018,5,512430,3840498
2018 Jun,2018,6,449482,3164542
2018 Jul,2018,7,514232,3990270
2018 Aug,2018,8,501707,4142442
2018 Sep,2018,9,456479,3456975
2018 Oct,2018,10,483922,3768352
2018 Nov,2018,11,478793,3948936
2018 Dec,2018,12,455498,3401725
2019 Jan,2019,1,439497,3018172
2019 Feb,2019,2,408449,2753121
2019 Mar,2019,3,458347,3431305
2019 Apr,2019,4,381117,2393359
2019 May,2019,5,388524,2682860
2019 Jun,2019,6,350415,2189947
2019 Jul,2019,7,414333,3035112
2019 Aug,2019,8,460049,3584724
2019 Sep,2019,9,466087,3794402
2019 Oct,2019,10,439131,3341851
2019 Nov,2019,11,354086,2130368
2019 Dec,2019,12,343735,2176831
2020 Jan,2020,1,394096,2672247
2020 Feb,2020,2,563874,3915291
2020 Mar,2020,3,699621,5000409
2020 Apr,2020,4,507393,3429928
2020 May,2020,5,465258,3131324
2020 Jun,2020,6,436864,2983054
2020 Jul,2020,7,495852,3937573
2020 Aug,2020,8,590435,4649615
2020 Sep,2020,9,548459,4127797
